Erreferentz,color_1_walk,color_1_bike
8696011,4,18
8697586,6,12
8092061,18,1
8095173,22,8
8797349,3,4
8696021,12,15
8696031,6,13
8696027,3,1
8696026,6,22
8696024,4,3
8696023,7,23
8696022,24,11
8696091,0,21
8696146,14,3
7896006,19,14
8696081,19,21
8696142,2,1
8696141,5,8
7895039,21,24
8696140,7,9
7895024,23,5
7795013,19,19
8195306,10,15
8696316,23,10
7891019,19,3
8495102,5,2
8194189,20,11
8095189,17,8
7891024,7,0
8696254,21,11
8696250,4,3
8696280,3,0
8696259,11,16
8696287,18,18
8696286,23,17
8696285,9,15
8696284,24,2
7891028,14,4
8696283,9,17
8397714,12,3
8697409,12,1
8697410,10,13
8697426,21,3
8496195,9,19
8697416,16,5
8594152,10,4
8697422,23,0
8594134,6,12
8697424,12,13
7790011,7,12
8697425,22,23
8697396,9,22
8697394,13,2
8697415,11,17
8697387,23,22
8696289,11,24
7995026,22,7
7995004,14,22
7895014,24,8
7895017,16,10
7895015,12,9
7996015,6,19
8696153,3,1
7996019,19,20
7896055,6,4
7895060,6,4
7896012,6,22
7996002,5,5
8596009,7,8
8596042,5,22
7895053,4,12
7996010,9,2
7896063,19,0
7896010,3,20
8192031,12,20
7896056,15,5
7896007,9,9
8196271,20,0
8494127,22,0
8494119,18,7
7895007,23,3
7895003,24,19
8297088,19,18
8394055,4,17
8295063,15,18
7895041,19,9
7895027,9,11
8697155,9,4
7896022,5,5
7896021,2,6
7896008,18,8
7896028,5,23
7995061,17,2
7896027,7,9
7896045,11,3
7896032,10,21
7796001,10,5
8297457,22,14
7795022,3,20
8497327,8,0
7795029,4,16
8796250,21,21
8796249,7,16
8796237,7,12
8495119,15,1
8495120,12,9
7795002,22,21
8495118,24,7
7795016,3,1
8697588,2,24
7695021,15,22
7891033,14,13
7695002,12,0
4878035,8,9
4878036,6,0
4775073,14,1
4775070,9,10
4575022,23,14
4775003,23,10
4775050,15,19
4573012,3,17
4573003,3,7
4872002,16,8
4570013,18,14
4469001,16,23
4775039,9,20
4873006,23,13
4773167,18,23
4774017,0,6
4774016,5,16
4774015,19,23
4774014,19,10
5177007,20,11
4774335,0,6
4274012,7,8
5176007,10,9
4773040,23,1
4274016,9,2
4675040,17,3
4376016,8,11
4773076,9,23
4873020,0,11
5177004,21,17
4374007,23,4
4672035,13,2
4672023,23,7
4774133,15,15
4774132,16,18
4774131,23,9
4675069,14,11
4774192,10,13
4774167,11,8
4774205,18,15
4774204,9,21
4774203,3,12
4774202,22,15
5293089,3,7
5293088,2,0
5193018,12,12
5294102,21,6
5491060,13,8
5491061,13,13
5492042,18,23
5488002,6,16
5394006,12,6
5892003,20,0
5393001,14,12
4765047,20,2
4765056,22,12
4765058,19,12
4765059,19,18
4662010,4,18
4661001,16,8
4765083,8,22
4666012,22,17
4567028,14,23
4960001,17,14
4459002,24,17
4458001,0,6
4658001,17,4
5059006,8,11
5063013,17,7
4765188,7,20
4568011,5,7
4568004,20,18
4966002,7,10
4462004,2,21
4560002,11,21
4961001,11,18
4858001,18,10
5060001,13,18
5059005,10,20
4665028,15,5
5580047,1,10
5580046,20,13
5681220,2,4
5581072,5,3
5581071,3,22
5681185,20,3
5681101,16,2
5681096,12,3
5681095,0,2
5380002,22,8
5681089,9,12
5679003,9,21
5781009,20,7
5581097,8,3
5681108,5,2
5681107,15,17
5681106,19,1
5681105,11,0
5680084,0,19
5680101,16,6
5580034,20,15
5581088,7,3
5681121,19,12
5681120,3,19
5681119,16,24
5376002,18,16
5678003,15,15
5778011,2,16
5378008,5,17
5281001,14,19
5383003,0,20
5681141,1,13
5681145,4,8
5680195,21,0
5781003,7,2
5680092,15,7
5681115,18,0
5680094,15,8
5681137,18,18
5681151,22,7
5780009,10,24
5680348,21,5
5680291,12,12
5479012,4,22
5479016,14,4
5479008,9,18
5479020,5,4
5479006,1,21
5479002,16,23
5583001,17,7
5781001,1,13
5781005,24,22
5781017,7,23
5778010,17,18
8491107,20,11
8491139,22,5
8291178,9,3
8390241,23,23
8390235,18,18
8589050,23,12
8390236,22,12
8688056,1,23
8390242,2,16
8291182,17,10
8491055,6,3
8291010,15,1
8291007,15,12
8391004,6,18
8391012,0,21
8391052,8,14
8391030,7,21
8391017,22,18
8391033,4,7
8291013,0,8
8391010,24,17
8491022,10,2
8491033,17,24
8491018,12,10
8491035,23,9
8491029,3,19
8491032,16,24
8192006,19,23
8292048,16,21
8589019,1,15
8391207,19,1
8788001,0,9
8491103,15,7
8391081,5,1
8491117,4,7
8391149,16,22
8491159,17,15
8391035,2,22
8491038,11,0
8391453,10,17
8391441,20,7
8391398,21,4
8391086,18,8
8391144,7,10
8192005,0,10
8491178,9,11
8292066,5,17
8292051,4,12
8292003,7,11
8391125,10,11
8292021,21,4
8292067,8,18
8391494,15,15
8391173,0,13
8391452,22,13
8390245,11,14
8390165,10,4
8290105,6,4
8291091,19,11
8290112,8,12
8491119,15,21
8391255,7,2
8995130,10,5
8996559,16,2
8895114,9,10
8995126,12,0
9096002,18,7
9096013,15,9
9095037,3,2
8896069,1,3
8896093,9,12
8896219,3,4
8896230,23,12
8997001,5,23
8995054,21,12
8995056,6,11
8995044,4,15
8996359,11,5
8996371,4,19
8996372,18,15
8996269,10,10
8996270,23,0
8895041,17,8
8895039,9,14
9095014,9,23
9095028,22,7
8995109,8,22
9095002,13,18
8994085,7,8
8893044,9,22
8893017,2,19
8993025,1,5
8793006,6,15
8896323,5,23
8995202,13,14
8995007,4,16
8994051,19,12
8994090,18,0
8893013,4,13
8893012,17,18
8893011,10,9
8893010,14,2
8993003,19,7
8994017,18,13
8993007,5,20
8993008,20,17
9095023,13,21
9095022,19,0
9095021,12,15
9095020,14,3
8993019,5,17
9095016,12,14
8996202,21,19
8996201,7,19
8994070,16,10
8893033,12,19
8893047,22,15
8896396,16,2
9192001,3,15
8994038,1,4
8993011,18,1
8996191,9,22
6869047,4,15
6870003,12,13
7070017,5,5
7070006,13,8
6970081,20,15
6869044,13,19
7070023,2,13
7070022,12,22
7070024,14,3
7070025,6,9
6970028,7,13
7683004,23,5
7783073,20,12
7683014,6,1
7784092,1,6
7783040,2,23
7683003,15,14
7683002,17,18
7784051,18,24
7684001,5,7
7684008,23,22
7784080,0,15
7783037,10,21
7783005,17,20
6289027,10,0
6291005,12,23
6290004,22,7
6391003,0,20
6289015,7,0
6290026,19,18
6190027,0,4
6190004,24,15
6190026,15,11
6290018,11,9
6289030,22,7
6289031,3,7
6289035,22,3
6289042,13,11
6289039,15,8
6289036,19,10
6289021,0,17
6290021,21,6
6289037,1,13
6190019,5,14
6190016,14,4
6289011,22,7
6289013,5,9
6090002,19,1
6090001,3,23
6190025,13,4
6291008,15,19
6290001,2,2
6391001,6,2
6290008,11,21
6289001,19,4
6089078,1,21
5072023,9,2
5072010,24,24
5072021,14,21
5072017,12,8
5072015,23,3
5072027,16,6
5173002,9,1
5071064,19,3
5071004,20,12
5071005,13,22
5071006,24,2
5071014,23,1
5071016,20,3
5072028,0,9
5071030,5,5
5072030,7,17
5072098,20,20
5072034,23,12
5072036,15,3
5072037,18,22
5072038,15,24
5072039,22,2
5072040,0,10
5072052,21,9
5072042,7,11
5072033,9,6
5072083,6,2
5072008,17,4
5071002,23,14
5071001,20,18
5072139,6,8
5072138,4,2
5072137,22,1
5072143,2,18
5072132,14,21
5072131,19,19
5072054,14,13
5072055,21,9
5072058,18,0
5072059,22,20
5072068,23,15
5072069,21,13
5072070,3,7
5072071,14,1
5072043,24,0
4972002,6,1
5171017,23,16
5073003,18,24
5073006,21,9
4974002,16,9
5071084,10,19
5071090,16,8
5071050,18,8
5071086,3,23
5071051,15,1
5071053,5,18
5071054,4,2
5071055,16,3
5071056,15,14
5071069,2,9
5071068,22,17
5071066,6,19
5071065,3,12
5071048,20,2
5071101,12,16
5071071,6,20
5071045,6,20
5071031,21,3
5071040,19,18
5071039,13,9
5071038,13,8
5071037,13,5
5071019,3,12
5072091,1,24
5072090,3,11
5072088,9,5
5072087,6,4
5072079,0,16
5072085,7,2
5072114,5,5
5072047,3,18
5072129,1,1
5072009,6,3
5072116,8,20
5175001,18,8
5072135,8,6
5072133,1,8
5072124,20,11
5172004,16,20
5072104,18,2
5072144,9,11
5072096,23,15
7191001,17,14
6588006,9,19
6987060,23,24
6987059,20,2
7091060,14,23
7191048,24,3
7189009,15,4
7189007,15,3
7191041,21,11
6987084,18,20
6987021,21,20
7090002,15,16
7188007,19,10
6887009,3,20
6887008,10,13
6887002,11,24
6987025,23,9
7187013,14,3
7187020,8,15
7187001,22,11
7187003,19,23
7187009,17,6
7187008,17,10
7087005,5,23
6591018,9,14
6491002,7,4
6588021,22,5
6987130,14,19
6987056,9,17
6987058,0,16
6987055,21,22
6987061,21,11
6987062,10,18
7191006,21,4
7191018,19,11
7191027,3,16
7191051,4,10
7191023,1,8
7191031,24,6
6987015,3,14
7190010,7,6
7191046,4,16
7091029,19,15
7091012,16,20
7090003,18,3
6992001,0,13
7091006,9,4
6987091,10,11
6987094,14,12
6987096,6,5
6987069,5,8
6987071,5,4
6987081,12,2
6987073,5,18
6987066,3,2
6987080,15,12
6987101,0,18
6987129,16,23
6987115,21,2
6987122,19,2
7091010,2,12
7091011,21,15
7091013,19,1
7091016,3,6
6991006,3,22
6987123,14,1
6987126,18,16
6987127,16,16
6987128,13,19
6987105,2,10
6987104,17,20
6987114,7,12
6987106,22,9
6987113,15,11
6987078,2,15
6787001,22,2
6688001,18,6
6888005,0,23
6888004,7,16
6888009,22,2
6787002,3,15
6690002,4,9
6589001,6,21
6589004,14,13
6588003,8,6
6588004,23,14
7187021,2,12
7187022,16,2
7091017,12,9
6987043,19,16
7187024,8,21
7187023,20,18
7187018,10,2
6586004,22,13
6884004,18,10
6884001,2,21
6985008,13,21
6985006,24,2
6986001,3,18
7186002,20,10
7087002,1,14
6987004,5,17
7188002,7,20
7188003,8,21
6690008,7,3
6490001,14,21
6490006,9,6
6490007,0,18
6691005,5,0
6591002,21,11
6890001,16,9
6890002,7,6
6990002,4,22
7188005,13,1
7188009,2,4
7087015,10,9
6886005,17,22
6986004,2,17
6986002,8,22
6985001,12,1
6884003,4,22
6588012,13,14
6586001,14,7
7091034,5,8
7091038,11,11
7091018,15,23
7191021,6,20
7191017,12,2
7191019,18,18
7091008,15,15
6876081,14,21
6875001,9,17
6876085,19,5
6777016,16,19
6777015,0,9
6777013,22,0
6876030,17,24
6876031,9,20
6876045,13,9
6876009,19,7
6876025,6,7
6876037,18,17
6876095,8,18
6876068,3,4
6876058,10,23
6876076,11,8
6876080,11,23
6875008,2,19
6777004,23,24
6877035,15,2
6877027,3,23
6676003,4,11
6676005,11,14
6777028,10,21
6877008,18,22
6977005,9,5
6877002,3,2
6876092,6,13
6876069,3,11
6876023,8,1
6775003,13,21
6876054,3,19
6776005,12,18
6876057,1,13
6775004,10,14
6775006,1,21
6775001,17,3
6777032,2,23
6876061,10,14
6876090,7,23
6876072,20,1
6876033,1,22
6777006,13,11
6876050,5,23
6877022,2,7
6877045,0,14
6777039,17,23
5763011,3,11
5763010,5,12
5763005,24,6
6062013,14,7
5962073,21,1
5763017,9,21
5962041,7,0
6389006,18,18
6289063,8,10
5992031,9,23
5992032,16,12
5891019,7,19
6089065,12,11
6088062,17,7
6087034,16,21
6088001,5,2
6289051,16,17
6187006,20,19
5986006,20,23
6287024,24,9
6287020,24,1
6387016,5,5
6387013,9,6
6088009,11,17
6287014,21,4
6087015,13,2
6087016,8,7
6089057,14,8
6088038,13,2
6087005,9,24
6087013,5,22
6087014,0,7
6087143,6,2
5891038,23,15
8177065,12,15
8176007,3,22
8176006,13,3
8176004,24,14
8176003,18,20
8177054,8,6
4785259,7,4
4784163,3,18
4784167,1,23
4784166,14,3
4784165,16,18
4885117,19,4
4884035,7,6
4785137,23,22
4785056,3,11
4785120,14,3
4885108,0,20
4785220,14,19
4886033,1,8
4784034,4,18
5082002,10,1
4886047,9,11
4885010,1,2
4885009,7,16
4785221,16,15
4886051,11,9
4884005,13,9
4884003,2,18
4884038,21,19
4984010,4,24
4884057,16,22
4684034,15,18
7977057,16,13
7977017,0,9
7977009,22,12
7877021,16,22
7877027,17,21
7977103,13,10
7977089,15,11
7977080,10,24
7977079,1,12
7977113,12,6
7977114,3,2
7977023,21,20
7977021,4,4
7977051,21,21
7977119,1,14
7977005,24,24
3863117,15,23
3762007,23,16
3762012,1,9
3863075,4,2
3863074,8,9
3862002,12,1
3361009,4,7
3361002,22,21
3962021,6,7
3662010,7,9
3863112,19,18
3863101,4,2
3863105,2,6
3863108,15,9
3560010,9,3
3661009,0,16
3661016,8,18
3761001,8,6
3960003,19,18
3361016,8,12
7372030,9,0
7371006,0,19
6757022,1,24
6757027,8,9
6762099,10,3
6762100,11,19
6762102,6,15
6763009,24,15
6763012,16,14
6659019,3,3
6659006,23,9
6957002,18,15
6761023,3,21
6761031,5,22
6660024,16,20
6660032,2,19
6660013,14,20
6761069,21,20
6558004,4,23
6660007,10,11
6662002,8,18
6858001,15,6
6858003,17,15
6660029,2,8
6660040,16,18
6660031,9,4
6660022,22,9
6660036,12,12
6660037,14,15
6660038,5,10
6761043,3,12
6660006,22,6
6660015,13,3
6660016,19,16
6660011,20,10
6660044,16,4
6660034,19,12
6661008,15,2
6658026,8,20
6658004,1,4
6757029,9,12
6957005,19,20
6658021,20,10
6558001,14,9
6558002,9,5
6458003,22,17
6659028,9,8
6760003,16,11
6961001,21,10
6957015,21,5
6762054,23,15
6761061,9,11
6661003,5,11
6660041,12,12
6660043,9,15
6861001,6,9
6762036,21,23
6762038,24,20
6763006,3,6
6763010,0,2
6763013,23,20
6763011,12,14
6757026,23,5
6757032,12,1
6957019,1,9
6763022,14,1
6961002,2,22
6761052,23,3
6660003,3,6
6762046,18,17
6566319,24,22
6566320,7,20
6565010,21,12
6566046,6,21
6367009,9,16
6567017,15,14
6466097,16,22
6466111,1,7
6366014,9,1
6366013,10,12
6370016,20,4
6367036,10,10
6367033,12,3
6367025,3,22
6366024,20,0
6366026,22,18
6466144,1,21
6466142,0,5
6466136,7,1
6566189,18,23
6566197,12,21
6466067,14,15
6566203,2,11
6566154,20,16
6566148,9,2
6566121,9,4
6566135,2,21
6566143,18,15
6566132,15,5
6566258,11,5
6566264,21,5
6566266,16,11
6566229,5,19
6566225,12,4
6566226,9,8
6566241,14,7
6566228,10,12
6566216,4,0
6566230,11,5
6566234,0,12
6566237,4,23
6566302,16,6
6566303,4,15
6566304,24,9
6566306,5,21
6566307,16,7
6566308,14,15
6566309,3,13
6566312,8,5
6566055,12,16
6566269,21,16
6566270,0,12
6566062,20,7
6566031,21,8
6566209,18,8
6666005,20,6
6267036,21,24
6267033,11,5
6268002,9,10
6270001,19,5
6566172,13,0
6566178,4,14
6270014,4,15
6566009,16,22
6566173,9,5
6566163,10,7
6366030,16,5
6466141,15,7
6566069,16,9
6566070,3,24
6367011,10,16
6367010,6,4
6268010,2,0
6366012,18,20
6170005,10,1
6366006,22,8
4065110,12,21
4065118,4,5
4065108,23,7
4065107,4,22
3965003,16,18
4263007,5,7
4263001,9,11
4263010,22,17
4065175,4,24
3966006,11,16
4263003,2,9
6869040,7,20
6869018,10,13
6868034,2,12
6869016,6,21
6868056,1,22
6868038,13,9
6868058,20,19
6571003,14,16
6869001,11,7
6869055,17,9
6769001,2,3
6665109,14,14
6563015,18,14
6764016,15,19
6765009,4,11
6864005,1,8
6763019,24,11
6763015,18,12
6664245,3,1
6665211,11,16
6664111,15,2
6763017,7,9
6665216,19,14
6665217,19,10
6665218,23,20
6665219,1,2
6665220,0,16
6664255,15,11
6765006,20,22
6664265,8,12
7776024,14,6
7776025,17,22
7776010,0,12
7777019,3,18
7777014,11,3
7777001,22,22
7777012,20,24
7777023,7,10
7776051,22,18
7776052,18,15
7877035,17,10
7776018,14,8
7776006,15,24
9799534,10,22
9799649,10,0
9899858,6,11
9698067,14,14
9799076,10,24
9799022,6,24
9899265,16,14
9800018,11,23
9800034,23,18
9800035,13,20
9800053,12,8
9800047,2,2
9800046,12,8
9800040,5,24
9800041,6,24
9800045,18,2
9800023,13,22
9898080,1,15
9799432,4,1
9798214,22,4
0099152,8,13
9999231,24,3
9697033,7,2
9899575,22,11
9598204,5,12
9598194,12,12
9998071,23,7
9798205,0,1
9798225,5,22
9798199,13,7
9798200,21,1
9798203,4,19
9798204,13,20
9799565,7,6
9798215,11,15
9598189,14,1
9598217,4,3
9999225,21,10
9597074,7,6
9794009,19,13
9596010,19,5
9599051,22,18
9698166,4,21
9698144,7,8
9598207,22,18
9598203,18,9
9799502,9,22
9598222,21,4
9598209,19,0
9798086,8,6
9798140,13,6
9798084,3,12
9798130,20,0
9798127,2,9
9598191,13,9
9598215,19,23
9799609,21,7
9798178,13,13
9798317,2,21
9799270,10,10
9799089,16,23
9799067,15,2
9699072,17,5
9799025,3,1
9799026,15,15
9799029,5,7
9799030,6,19
9799031,24,24
9799028,23,14
9799027,20,5
9700187,1,24
9699281,14,14
9799336,9,14
9598111,2,16
9598166,14,1
9598146,15,14
9598144,14,0
9598143,8,24
9598142,10,7
9598123,24,0
9698021,7,11
9698022,23,1
9698061,4,18
9598024,1,11
9598022,12,24
9598038,4,17
9599040,2,2
9598160,16,11
9598074,20,20
9598076,19,13
9598078,4,10
9598083,22,9
9698127,10,5
9697002,24,20
9697003,11,22
9699393,20,10
9598068,23,1
9598067,1,8
9598066,2,18
9598063,6,9
9598058,7,5
9599035,17,12
9598019,20,1
9598017,3,12
9598001,23,2
9598005,16,16
9997001,10,2
9997011,11,6
9896003,20,22
9897014,9,12
9999009,1,6
9899035,12,22
0298001,7,14
0098004,14,8
9999015,21,11
9800008,11,13
9800007,17,0
9800010,20,16
9800001,24,15
0099064,13,10
0099068,14,9
9999047,18,1
9899334,13,17
9999173,23,23
0099099,7,22
0099034,16,24
0099021,19,11
0099022,6,16
0099093,15,16
0099083,8,1
9999174,5,15
0199007,8,0
9998051,19,17
5468025,13,12
5468026,12,22
5467363,14,19
5468005,15,4
5465007,10,17
5465008,3,5
5465009,16,2
5466126,2,13
5469008,18,4
5467135,5,9
5469027,20,17
5469018,7,5
5364031,24,24
5468007,22,12
5461001,12,5
5464013,17,5
5367037,16,16
5368015,0,7
5469009,21,2
5466142,19,10
5268001,12,12
5464012,3,8
5469024,4,15
5466139,17,10
5467236,20,15
5463003,17,4
5468003,22,0
5364022,23,2
5364021,23,15
5464003,13,6
5464019,19,20
5367042,23,2
5367038,0,9
5364041,6,5
5462003,7,2
5467241,4,24
5364027,12,17
5466130,7,14
5364023,24,23
5468006,15,12
5468008,15,0
5467253,2,12
5467252,17,24
5467229,2,10
5467260,1,22
5467232,18,17
5467210,22,9
5467209,24,14
5467208,10,21
5467207,9,3
5467298,18,15
5467199,11,0
5467324,2,15
5467323,14,9
5467321,0,16
5467319,4,20
5467308,4,23
5467316,3,16
5467338,21,11
5467337,14,9
5467326,11,15
5467335,0,19
5467343,21,17
5467329,24,9
5467328,8,20
5467327,16,10
5467336,17,4
5467276,11,0
5467304,22,19
5467284,9,20
5367005,4,18
5367045,5,1
5367043,5,11
5368005,13,3
5364037,8,13
5363001,15,22
5368001,17,18
5467357,22,18
5467356,14,12
5467358,22,11
5467351,20,20
5467352,3,15
5467126,4,23
5367011,6,22
5367014,18,6
5367015,1,13
5367084,13,6
5367082,19,12
5466004,15,13
5466003,8,24
5466044,15,15
5466046,5,22
5366004,0,19
5466053,15,12
5466051,23,5
5466060,15,22
5466038,18,6
5465010,11,0
5465015,11,1
5465014,7,19
5465022,19,6
5364040,10,5
5364015,3,18
5364012,21,7
5364035,3,4
5464010,20,3
5464008,16,5
5464007,12,6
5463026,12,19
5463027,0,19
5463012,18,24
5367076,20,7
5466079,9,2
5466063,14,24
5466029,7,5
5466102,13,0
5466101,4,22
5467120,2,1
5467106,9,1
5467105,0,7
5467179,22,10
5467172,0,6
5467119,11,0
5467118,20,5
5467117,18,22
5467273,15,0
5467269,9,20
5467290,15,23
5467287,2,2
5467299,13,2
5467145,6,15
5467079,15,19
5467061,8,5
5467075,6,16
5467057,6,12
5467053,10,20
5467088,14,9
5467078,17,17
5467021,16,14
5467018,14,16
5467017,3,8
5467036,20,3
5467037,15,8
5467023,23,1
5467035,1,22
5467047,4,12
5467033,2,11
5467031,18,16
5467030,3,5
5467029,23,12
5467028,17,8
5467027,14,5
5467024,0,19
5467096,1,12
5467170,21,19
5467167,24,0
5467166,3,8
5467165,7,14
5467164,23,19
5467163,12,23
5467084,10,24
5467152,1,10
5468013,0,21
5368018,12,22
7873007,6,22
7872015,12,15
7872016,7,17
7873024,20,10
7872076,22,10
7873026,3,9
7773005,9,3
7873041,4,16
7872075,5,15
7872086,23,8
7972012,14,9
7972004,20,24
7972007,4,13
7972009,2,7
7872085,18,5
7872080,21,20
7873035,24,19
8069003,5,10
8069002,18,10
8069001,14,18
7873033,21,15
7573031,23,23
7775050,20,3
7573032,16,18
7673005,13,16
7673011,6,23
7675008,10,19
7674004,12,21
7775009,21,6
7775003,18,14
7775012,10,11
7775041,17,15
7775046,9,7
7875001,24,1
7774002,3,2
7775048,19,8
7673013,6,0
7775020,11,16
7674006,0,9
7775037,5,21
7775005,10,21
7775018,11,12
7775024,2,7
7775023,4,21
7775006,2,7
7775016,7,6
7775004,7,8
7775002,20,22
7774004,6,20
7774005,0,17
7573029,7,14
7775042,22,21
7673008,9,0
7673009,7,8
7674010,13,23
8897102,9,6
8796077,0,2
8897038,9,5
8697081,23,6
8697190,5,5
8897092,1,2
8697262,24,12
8697248,12,4
